Date,PC1,PC2,PC3,PC4,PC5
2014-01-02,0.5339518514465691,-0.9063364020922761,-0.44750423365728575,-0.15878294599651083,0.12213135855444919
2014-01-03,2.939630286606833,0.11000156830434854,0.2979534339305747,-0.9517377262061995,0.5920127386265218
2014-01-06,-0.3679549877581487,1.2080242520746591,-0.38825443517312047,0.5110692348372988,-0.5745659893075342
2014-01-07,0.006840928731540312,-1.0806875483042502,0.3727098317799955,0.499442322737767,0.20266838707175885
2014-01-08,2.01024067347395,0.45630672371016595,0.04231520663989514,-0.41029095102418084,0.026852871113301018
2014-01-09,1.5749943575481749,-0.05714751411436138,-0.035813881423338155,-0.2608754743517322,0.24668973024433802
2014-01-10,-1.332690245124923,0.18155966459413334,0.0003836292658952292,-0.28236478261372056,0.19986411112593302
2014-01-15,1.178234095603672,0.2504340975485468,0.1955811818958392,0.4416567531445478,-1.0558447824194448
2014-01-16,2.6341749658701796,0.6128295047982291,0.0878857831464595,-0.30700825621111455,-0.18998719022581456
2014-01-17,-0.24889776459140975,-0.6499745028493088,-0.14511032430911894,-0.2094082865823385,0.6761726426649769
2014-01-20,0.9278831937857542,1.2542099061040302,-0.57903888512487,-0.4556119248599729,0.4273354246416289
2014-01-21,0.39203591696027523,-0.5109951583244453,-0.06479494148949336,0.8559105614492629,-0.23106791575806457
2014-01-22,0.35400563529422985,-0.9809381059265431,0.641381599179485,0.7365829596836136,-0.5726162654897099
2014-01-23,0.9888961826763053,-0.34131100866392683,0.07355112944667945,0.03081517049150477,-0.03634185183538676
2014-01-24,-1.1418728679416936,-4.521888583029235,0.05461780131421715,1.2709819534200768,-0.4692944117543486
2014-01-27,1.2967646097935301,-2.224572249497325,-0.8821833491539782,1.1600089904148823,0.7786337574475254
2014-01-28,0.4195480627028019,-0.19153652271806842,0.3933429453622567,2.0558506990467005,-0.7977802552193579
2014-01-29,-1.1308175700975593,1.9587231106912577,0.2081495267460689,-1.778587462927096,0.8926411362991731
2014-01-30,1.1807968625053642,-1.8867918838797526,-0.27377537366487764,-0.8365612734947224,0.8033417634045211
2014-01-31,1.309154501687524,2.325382218859092,-0.3211238044425833,0.23258623734255285,1.0431327624014368
2014-02-03,1.875000540161597,-0.44460472261417405,-0.14506239537224794,-1.289372818603537,-0.29260358113364593
2014-02-04,0.03620520115927425,-1.7029654647802681,-0.002960285840395101,1.1012506782000384,0.46354329620864293
2014-02-05,-3.785107642013137,2.906692336590206,0.06449687585398105,-1.1376119171399357,0.512414202981306
2014-02-06,-0.7540805499638532,-0.0014476540899064682,0.11533396860661613,-0.3573428331644135,-0.36583865063973803
2014-02-07,-0.9806231486692647,0.36263538876851736,0.23187237523521276,-0.3525159156179433,-0.7795760054487499
2014-02-10,-1.069399919540351,0.2504611993658566,-0.284108262824987,-0.23402996238179494,-0.6338211252588303
2014-02-11,0.1291188625025416,-1.5366181858839012,0.7821434923575576,0.4070745903594711,-0.9141245264197165
2014-02-12,-2.111704396911659,1.5452381788901857,0.1556545710189572,-0.4309279933228709,0.06336416309759789
2014-02-13,-1.0356301561171435,0.8975756840523923,0.03641970311308532,-0.5174046684310968,0.2498584379249277
2014-02-14,-0.7873796419693353,-1.5183109214086126,-0.02339603115540098,0.6218843036102801,-0.09934030268515888
2014-02-17,-3.0295759614802975,0.33091589271707683,-0.42152320768903184,-0.7825336992687112,0.5817001343023068
2014-02-18,0.5287534167966841,0.4962550248776592,-0.001708999106520118,-0.044830502595961254,-0.013965446624352791
2014-02-19,1.186724534680617,-1.2925556806937404,0.6175341385105189,0.6754568904432254,-0.8792907099814544
2014-02-20,2.0533582237260943,-0.4561323940293664,-0.18712418847537937,-0.32006679744784056,0.48018376136286156
2014-02-21,0.09078333070577105,0.4931426216425797,-0.14198971679797232,-0.09278835362486094,0.5227025193390387
2014-02-24,0.18929583483490214,0.6306287782128912,-0.6116250845524056,0.05055358176269309,0.21414322428527477
2014-02-25,-1.867306140278479,0.6754912506976508,0.3678595515757473,1.1908790693441682,0.15780578948949114
2014-02-26,0.15193758831298126,-0.7480063283980781,-0.19144730951623154,0.28212673170854924,0.7840317896452891
2014-02-27,1.394584742924685,0.393400143256728,-0.11558512394165146,-0.16731566328462072,-0.05169884377084256
2014-02-28,-1.3738730988923338,0.42554094857230407,-0.09826578751560638,-0.015127804692597774,0.5901343543659469
2014-03-03,-1.2855516063124575,-2.1998320238335327,-0.34770569685944164,0.20982922419212224,-0.3814658347798793
2014-03-04,1.4506527273058116,0.08413337885462094,0.3627523596098118,0.10791912115106395,-0.012723361393204223
2014-03-05,-0.9450577520198445,2.162274494153247,0.14624165767868458,-0.014505880244492137,-0.17224940325667157
2014-03-06,-1.1832842323148973,0.940101934606503,-0.0019093519597265303,0.4693607116985997,-0.385941762563134
2014-03-07,-4.01636255599909,1.032842026997194,0.11078752773368998,-0.6498222620968616,0.8829451321634795
2014-03-10,1.830163755539402,-1.8315893011291051,-0.35962590031415265,0.32359033710084156,-0.8480957582892982
2014-03-11,0.363391386497277,0.1523661767290104,0.43315510014881725,-0.2578462459463937,0.3388682511284116
2014-03-12,0.6561723339581066,-0.8451212366742574,-0.07418695521643852,0.3847177232970056,-0.08168428576775219
2014-03-13,-1.1893141757865318,-0.12825499264096374,-0.1445290977563859,0.27121606518443386,0.7641689808556171
2014-03-14,-0.07858551773397628,-1.0455087963456717,-0.19512268328346888,0.9155780091276653,0.013781692313012146
2014-03-17,-1.0621989190576777,0.30507339303433023,-0.6274537334243031,-0.5611178524591195,1.0465780596209673
2014-03-18,-0.9447705427204999,0.4793013107683712,0.5045147892635302,0.6134401593165035,-0.43971965001870167
2014-03-19,-0.3704049957694793,-0.7838429565317802,-0.0641751632898227,-0.2962420496745039,0.48760792533768194
2014-03-20,4.996933624703764,1.5468268321918426,0.02901853564355727,-0.9989434346164386,-0.10516985908650231
2014-03-21,0.9581871053095148,0.022432508494322642,0.09912516441165838,0.17449094585016334,-0.5065341287484275
2014-03-24,-1.2509601557760825,0.4747998588853014,-0.07222013021471825,-1.6789333360135994,-0.647296189967855
2014-03-25,-1.895031771774691,0.7671046370262584,0.5204934490785105,-0.4289498760002768,0.24531408782958342
2014-03-26,-1.0436810049407732,1.336465145907387,-0.012968718029033696,-0.6087055884315382,0.45708365695873937
2014-03-27,-0.8273003086200579,1.1843994420077677,-0.34180847793887564,0.17366153993982908,1.1483209743417842
2014-03-28,-1.9109481444435183,1.7495749214196752,-0.08507953896169707,-0.2323135398276878,0.15200980572484826
2014-03-31,-0.45016244052877014,1.0928488610808744,-0.3414048616521494,-0.7577221915572123,0.05057032629128061
2014-04-01,-0.7723384545610938,-0.34816498345069624,0.6903201432901978,0.2144453730675741,-0.5771858379321879
2014-04-02,0.14636419674416584,0.5521528365464231,-0.2008365787460953,-0.17385248019593053,0.255877494265826
2014-04-03,1.06490990204016,0.2629896094549797,-0.23589692949496707,-0.07879018360009198,-0.6548446851526792
2014-04-04,1.5233046746263599,0.28306496572968987,0.28599693332663484,0.3574327454138888,-0.13602551444418104
2014-04-07,-2.509121482238724,2.0872986637642805,-0.7584424178574783,-1.466604561922142,1.7053522700616266
2014-04-08,-0.21721084135322988,-1.421571775290281,0.4736564651080377,0.2725850133134773,-0.3988400008601229
